tickpickURL,stadiumURL,eventCategory,eventSubCategory,eventTitle,eventLocation,eventCity,eventState,eventGeolocation,eventPerformers,eventTime,eventImageURL
https://api.tickpick.com/1.0/listings/internal/event/5862309?trackView=true&lid=5862309,https://api.tickpick.com/1.0/venues/chart/v2?venueId=LUCAS_TS2,concert,pop,Taylor Swift & Gracie Abrams,Lucas Oil Stadium,Indianapolis,Indiana,,,"Nov 3, 2024 7:00PM",https://ticket-tracker-bucket.s3.us-west-1.amazonaws.com/taylor+swift.jpg
https://api.tickpick.com/1.0/listings/internal/event/5717271?trackView=true&mid=5717271&lid=5717271,https://api.tickpick.com/1.0/venues/chart/v2?venueId=MSGSPHERE_U2,concert,rock,U2,Venetian Las Vegas,Las Vegas,Nevada,,,"Dec 6, 2023 8:00PM",https://ticket-tracker-bucket.s3.us-west-1.amazonaws.com/u2.jpg
https://api.tickpick.com/1.0/listings/internal/event/5555490?trackView=true&lid=5555490,https://api.tickpick.com/1.0/venues/chart/v2?venueId=ARROWHEAD_BEY,concert,,Beyonce,Levi's Stadium,San Jose,California,,,"Aug 30, 2023 7:00PM",https://ticket-tracker-bucket.s3.us-west-1.amazonaws.com/beyonce.jpeg
https://api.tickpick.com/1.0/listings/internal/event/5888001?trackView=true&mid=5888001&lid=5888001,https://api.tickpick.com/1.0/venues/chart/v2?venueId=CHASECSF_NBA,sport,nba,Warriors vs. Lakers,Chase Center,San Francisco,California,,,"Jan 27, 2024 5:30PM",https://ticket-tracker-bucket.s3.us-west-1.amazonaws.com/warriors.jpeg
